code,name,latitude,longitude,Z,FindNearestRank,DistanceKilometers,Direction
6199,Clark / St-Viateur,45.52516404439482,-73.59930574893951,70,1,7.30054441798576e-003,NW
6200,St-Dominique / Maguire,45.52517749913384,-73.59544605016708,67,1,4.12022820911589e-003,NE
6187,Resther / du Mont-Royal,45.52562819123256,-73.58177483081818,49,1,7.807122991111e-003,W
6094,de Gaspé / Fairmount,45.525669,-73.593016,64,1,9.15015157006759e-003,SE
6188,Mentana / Marie-Anne,45.526026565221414,-73.57785880565643,46,1,4.80742042906082e-003,W
7077,Fullum / Jean Langlois,45.52612803739037,-73.54600220918655,20,1,1.00782993888491e-002,S
6111,Parthenais / Ste-Catherine,45.52620038317685,-73.54926645755768,20,1,9.52736375481271e-003,NE
6752,Hutchison / Beaubien,45.5262464,-73.61374676,62,1,4.72968408645917e-004,NW
7032,Drolet / Laurier,45.526251876092516,-73.58975838928018,61,1,2.59928788324004e-003,W
6235,St-Dominique / St-Viateur,45.52654331973003,-73.59823286533356,69,1,1.22634237299206e-002,SW
7024,Berri / Gilford,45.5265658689096,-73.58542799949646,54,1,1.12366853712417e-002,N
6728,Champagneur / Jean-Talon,45.52679805446713,-73.62421274185179,57,1,9.27317955553924e-003,NE
6334,"d'Outremont / Ogilvy",45.52684538403074,-73.62666830420494,56,1,3.29378935819493e-003,N
6143,Rachel / de Brébeuf,45.52689,-73.57264,41,1,5.57528868095671e-003,W
6119,Dorion / Ontario,45.52697,-73.558021,24,1,1.33051860793289e-002,SW
6234,Bernard / Clark,45.52697,-73.60261,67,1,1.30413904720855e-002,SW
6190,Pontiac / Gilford,45.527009334270645,-73.58576595783234,54,1,9.75433769748546e-003,NW
7026,Maguire / Henri-Julien,45.527041096087785,-73.59347056655677,64,1,7.25786295999188e-003,NW
6148,Émile-Duployé / Sherbrooke,45.52729,-73.56463,41,1,3.63802653458275e-003,E
6228,Waverly / Van Horne,45.527363,-73.607723,66,1,8.00932847756502e-003,S
6169,Boyer / du Mont-Royal,45.527432126380575,-73.57991673052311,48,1,9.94621593126077e-003,NW
6136,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,60,1,1.10022297231593e-002,N
6281,Resther / St-Joseph,45.5277271,-73.58628362,54,1,3.34681083764526e-003,SE
7028,de Gaspé / St-Viateur,45.52774827884841,-73.59743893146515,67,1,6.50484057942604e-003,SW
6156,Marie-Anne / de la Roche,45.52775814390426,-73.57618510723114,45,1,7.49457595419801e-003,SW
6142,Calixa-Lavallée / Rachel,45.527794785525096,-73.57193917036057,42,1,1.0829069049539e-002,SE
6089,Henri-Julien / Carmel,45.527839413108,-73.59482109546661,64,1,8.88591380643155e-003,N
7025,St-Dominique / Bernard,45.52793332015246,-73.60122251338906,67,1,2.82928611895922e-003,SW
6108,Logan / Fullum,45.528448693514136,-73.55108499526978,20,1,1.08691426345182e-002,N
6157,de la Roche / du Mont-Royal,45.52875779392618,-73.57867956161499,48,1,5.551933116994e-003,W
6110,Poupart / Ste-Catherine,45.52903307037075,-73.54634821414948,20,1,1.12895154835447e-002,SE
6132,Larivière / de Lorimier,45.5291345371163,-73.55923354625702,26,1,6.31354753942693e-003,NE
6314,de Lanaudière / Marie-Anne,45.529219,-73.574777,45,1,5.92700843169517e-003,S
